State/Union Territory,Population (2019-20)
Andhra Pradesh,"9,258,390"
Arunachal Pradesh,"300,240"
Assam,"3,468,510"
Bihar,"5,818,550"
Chhattisgarh,"3,446,480"
Goa,"750,320"
Gujarat,"16,171,430"
Haryana,"7,321,950"
Himachal Pradesh,"1,591,640"
Jammu and Kashmir (state),
Jharkhand,"3,103,050"
Karnataka,"16,111,340"
Kerala,"8,129,350"
Madhya Pradesh,"9,278,550"
Maharashtra,"26,573,710"
Manipur,"298,130"
Meghalaya,"347,700"
Mizoram,"249,900"
Nagaland,"297,160"
Odisha,"5,375,020"
Punjab,"5,370,310"
Rajasthan,"9,986,790"
Sikkim,"314,410"
Tamil Nadu,"17,431,440"
Telangana,"9,500,900"
Tripura,"541,510"
Uttar Pradesh,"17,000,620"
Uttarakhand,"2,392,470"
West Bengal,"11,790,970"
Andaman and Nicobar Islands,"97,650"
Chandigarh,"434,210"
Delhi,"7,929,110"
Jammu and Kashmir,"1,641,030"
Puducherry,"369,990"
India,"202,692,830"
